,SampleA,SampleB
mmu-let-7a-1-5p,3294.03,775.24
mmu-let-7a-2-5p,3320.82,775.24
mmu-let-7b-5p,6630.93,2709.98
mmu-let-7c-1-5p,4010.71,930.29
mmu-let-7c-2-5p,4184.85,1011.18
mmu-let-7d-3p,535.83,0.00
mmu-let-7d-5p,10780.28,3034.82
mmu-let-7f-1-5p,2223.70,608.84
mmu-let-7f-2-5p,2431.34,649.29
mmu-let-7g-5p,3014.06,717.94
mmu-let-7i-5p,16383.07,6036.77
mmu-mir-103-1-3p,5054.69,2645.93
mmu-mir-103-2-3p,5081.48,2645.93
mmu-mir-106b-3p,3603.47,508.96
mmu-mir-106b-3p_-_2,375.08,0.00
mmu-mir-107-3p,1411.03,694.35
mmu-mir-10b-5p,910.91,0.00
mmu-mir-122-5p,509.04,0.00
mmu-mir-128-1-3p,7354.30,3215.57
mmu-mir-128-2-3p,4943.05,2184.16
mmu-mir-130b-3p,0.00,222.46
mmu-mir-130b-5p,375.08,0.00
mmu-mir-140-3p,10261.19,8352.39
mmu-mir-140-3p_+_1,27608.76,31154.60
mmu-mir-140-3p_+_2,884.12,889.84
mmu-mir-142-5p,0.00,242.68
mmu-mir-142-5p_-_1,750.17,444.92
mmu-mir-142-5p_-_2,7367.69,8453.50
mmu-mir-146a-5p,669.79,0.00
mmu-mir-146b-5p,714.44,0.00
mmu-mir-148a-3p,5063.62,6330.02
mmu-mir-148b-3p,2625.58,343.80
mmu-mir-150-5p,2518.41,586.49
mmu-mir-151-3p,1639.65,1071.86
mmu-mir-151-5p,723.37,212.35
mmu-mir-15a-5p,348.29,0.00
mmu-mir-15b-3p,455.46,0.00
mmu-mir-15b-5p,540.30,0.00
mmu-mir-16-1-5p,12819.79,849.40
mmu-mir-16-2-5p,12846.58,829.17
mmu-mir-17-5p,509.04,0.00
mmu-mir-181a-1-3p,321.50,0.00
mmu-mir-181a-1-5p,1406.56,2568.41
mmu-mir-181a-2-5p,1406.56,2568.41
mmu-mir-181b-1-5p,696.58,340.43
mmu-mir-181b-2-5p,937.71,451.66
mmu-mir-181c-3p,321.50,323.58
mmu-mir-181c-5p,750.17,1011.18
mmu-mir-181d-5p,1714.66,664.01
mmu-mir-1839-5p,294.71,0.00
mmu-mir-185-5p,1192.23,1739.24
mmu-mir-186-5p,8707.28,4793.02
mmu-mir-186-5p_+_1,294.71,0.00
mmu-mir-18a-3p,401.87,222.46
mmu-mir-191-5p,69256.33,42307.97
mmu-mir-191-5p_+_1,5813.78,4307.65
mmu-mir-192-5p,1982.58,728.05
mmu-mir-193b-3p,375.08,424.70
mmu-mir-19b-1-3p,683.19,0.00
mmu-mir-19b-2-3p,683.19,0.00
mmu-mir-21-5p,2357.66,222.46
mmu-mir-210-3p,803.75,990.96
mmu-mir-22-3p,3375.74,1577.45
mmu-mir-221-3p,321.50,262.91
mmu-mir-222-3p,401.87,0.00
mmu-mir-223-3p,2196.91,738.16
mmu-mir-23a-3p,361.69,0.00
mmu-mir-23b-3p,495.64,320.21
mmu-mir-24-1-3p,817.14,283.13
mmu-mir-24-2-3p,817.14,283.13
mmu-mir-25-3p,77133.06,21598.91
mmu-mir-25-3p_+_1,1446.75,0.00
mmu-mir-26a-1-5p,26068.24,866.25
mmu-mir-26a-2-5p,26068.24,866.25
mmu-mir-26b-5p,1232.41,249.43
mmu-mir-27b-3p,2223.70,768.50
mmu-mir-29a-3p,696.58,0.00
mmu-mir-30a-3p,776.96,0.00
mmu-mir-30a-5p,6724.70,748.28
mmu-mir-30b-5p,723.37,222.46
mmu-mir-30c-1-5p,12163.39,3245.90
mmu-mir-30c-2-5p,12163.39,3245.90
mmu-mir-30d-5p,21861.96,4246.98
mmu-mir-30e-3p,3348.95,485.37
mmu-mir-30e-5p,2250.50,379.19
mmu-mir-3107-5p,318020.96,359270.56
mmu-mir-3107-5p_+_2,2853.31,3945.31
mmu-mir-3107-5p_-_1,0.00,242.68
mmu-mir-320-3p,2464.83,4428.99
mmu-mir-320-3p_+_1,0.00,343.80
mmu-mir-324-5p,696.58,0.00
mmu-mir-326-3p,321.50,265.80
mmu-mir-328-3p,2398.74,2848.84
mmu-mir-339-5p,1473.54,1314.54
mmu-mir-361-3p_+_1,509.04,0.00
mmu-mir-361-5p,321.50,0.00
mmu-mir-374-5p,294.71,0.00
mmu-mir-378-3p,3058.71,5817.68
mmu-mir-378-3p_+_1,417.50,429.75
mmu-mir-378-5p,562.62,0.00
mmu-mir-421-3p,910.91,0.00
mmu-mir-423-3p,4273.26,5308.72
mmu-mir-423-3p_-_1,776.96,889.84
mmu-mir-423-5p,3804.41,4105.41
mmu-mir-425-5p,6537.15,3417.80
mmu-mir-451,34641.56,2689.75
mmu-mir-484,589.42,626.93
mmu-mir-486-5p,0.00,362486.13
mmu-mir-486-5p_+_2,3737.43,4471.12
mmu-mir-5109,308.10,1567.34
mmu-mir-5109_+_1,0.00,839.28
mmu-mir-5109_+_5,308.10,0.00
mmu-mir-5109_-_1,0.00,222.46
mmu-mir-652-3p,535.83,0.00
mmu-mir-744-5p,2076.35,1547.11
mmu-mir-92a-1-3p,120213.98,35553.26
mmu-mir-92a-1-3p_+_1,1781.64,1759.46
mmu-mir-92a-2-3p,4125.91,1213.42
mmu-mir-93-5p,2786.33,1213.42
mmu-mir-98-5p,353.65,0.00
