,SampleA,SampleB
mmu-let-7a-1-5p,1835.39,562.53
mmu-let-7a-2-5p,1850.31,562.53
mmu-let-7b-5p,3694.66,1966.41
mmu-let-7c-1-5p,2234.71,675.04
mmu-let-7c-2-5p,2331.74,733.74
mmu-let-7d-3p,298.56,0.00
mmu-let-7d-5p,6006.62,2202.13
mmu-let-7f-1-5p,1239.02,441.79
mmu-let-7f-2-5p,1354.71,471.14
mmu-let-7g-5p,1679.39,520.95
mmu-let-7i-5p,9128.42,4380.41
mmu-mir-103-1-3p,2816.40,1919.94
mmu-mir-103-2-3p,2831.33,1919.94
mmu-mir-106b-3p,2007.80,369.31
mmu-mir-106b-3p_-_2,208.99,0.00
mmu-mir-107-3p,786.20,503.83
mmu-mir-10b-5p,507.55,0.00
mmu-mir-122-5p,283.63,0.00
mmu-mir-128-1-3p,4097.71,2333.28
mmu-mir-128-2-3p,2754.20,1584.87
mmu-mir-130b-3p,0.00,161.42
mmu-mir-130b-5p,208.99,0.00
mmu-mir-140-3p,5717.39,6060.66
mmu-mir-140-3p_+_1,15383.21,22606.42
mmu-mir-140-3p_+_2,492.62,645.69
mmu-mir-142-5p,0.00,176.10
mmu-mir-142-5p_-_1,417.98,322.84
mmu-mir-142-5p_-_2,4105.18,6134.04
mmu-mir-146a-5p,373.20,0.00
mmu-mir-146b-5p,398.08,0.00
mmu-mir-148a-3p,2821.38,4593.19
mmu-mir-148b-3p,1462.94,249.47
mmu-mir-150-5p,1403.22,425.57
mmu-mir-151-3p,913.59,777.76
mmu-mir-151-5p,403.05,154.08
mmu-mir-15a-5p,194.06,0.00
mmu-mir-15b-3p,253.77,0.00
mmu-mir-15b-5p,301.05,0.00
mmu-mir-16-1-5p,7143.01,616.34
mmu-mir-16-2-5p,7157.93,601.66
mmu-mir-17-5p,283.63,0.00
mmu-mir-181a-1-3p,179.13,0.00
mmu-mir-181a-1-5p,783.72,1863.69
mmu-mir-181a-2-5p,783.72,1863.69
mmu-mir-181b-1-5p,388.13,247.02
mmu-mir-181b-2-5p,522.48,327.74
mmu-mir-181c-3p,179.13,234.80
mmu-mir-181c-5p,417.98,733.74
mmu-mir-181d-5p,955.39,481.82
mmu-mir-1839-5p,164.21,0.00
mmu-mir-185-5p,664.29,1262.03
mmu-mir-186-5p,4851.57,3477.91
mmu-mir-186-5p_+_1,164.21,0.00
mmu-mir-18a-3p,223.92,161.42
mmu-mir-191-5p,38588.65,30699.54
mmu-mir-191-5p_+_1,3239.36,3125.72
mmu-mir-192-5p,1104.67,528.29
mmu-mir-193b-3p,208.99,308.17
mmu-mir-19b-1-3p,380.66,0.00
mmu-mir-19b-2-3p,380.66,0.00
mmu-mir-21-5p,1313.66,161.42
mmu-mir-210-3p,447.84,719.06
mmu-mir-22-3p,1880.92,1144.63
mmu-mir-221-3p,179.13,190.77
mmu-mir-222-3p,223.92,0.00
mmu-mir-223-3p,1224.09,535.63
mmu-mir-23a-3p,201.53,0.00
mmu-mir-23b-3p,276.17,232.35
mmu-mir-24-1-3p,455.30,205.45
mmu-mir-24-2-3p,455.30,205.45
mmu-mir-25-3p,42977.46,15672.61
mmu-mir-25-3p_+_1,806.11,0.00
mmu-mir-26a-1-5p,14524.86,628.57
mmu-mir-26a-2-5p,14524.86,628.57
mmu-mir-26b-5p,686.68,180.99
mmu-mir-27b-3p,1239.02,557.64
mmu-mir-29a-3p,388.13,0.00
mmu-mir-30a-3p,432.91,0.00
mmu-mir-30a-5p,3746.91,542.97
mmu-mir-30b-5p,403.05,161.42
mmu-mir-30c-1-5p,6777.27,2355.29
mmu-mir-30c-2-5p,6777.27,2355.29
mmu-mir-30d-5p,12181.18,3081.69
mmu-mir-30e-3p,1865.99,352.19
mmu-mir-30e-5p,1253.94,275.15
mmu-mir-3107-5p,177196.81,260694.14
mmu-mir-3107-5p_+_2,1589.82,2862.80
mmu-mir-3107-5p_-_1,0.00,176.10
mmu-mir-320-3p,1373.37,3213.77
mmu-mir-320-3p_+_1,0.00,249.47
mmu-mir-324-5p,388.13,0.00
mmu-mir-326-3p,179.13,192.87
mmu-mir-328-3p,1336.55,2067.18
mmu-mir-339-5p,821.04,953.86
mmu-mir-361-3p_+_1,283.63,0.00
mmu-mir-361-5p,179.13,0.00
mmu-mir-374-5p,164.21,0.00
mmu-mir-378-3p,1704.27,4221.43
mmu-mir-378-3p_+_1,232.63,311.84
mmu-mir-378-5p,313.49,0.00
mmu-mir-421-3p,507.55,0.00
mmu-mir-423-3p,2381.00,3852.12
mmu-mir-423-3p_-_1,432.91,645.69
mmu-mir-423-5p,2119.76,2978.97
mmu-mir-425-5p,3642.41,2480.03
mmu-mir-451,19301.79,1951.74
mmu-mir-484,328.41,454.92
mmu-mir-486-5p,178988.16,263027.43
mmu-mir-486-5p_+_2,2082.44,3244.34
mmu-mir-486-5p_-_1,0.00,161.42
mmu-mir-5109,171.67,1137.29
mmu-mir-5109_+_1,0.00,609.00
mmu-mir-5109_+_5,171.67,0.00
mmu-mir-5109_-_1,0.00,161.42
mmu-mir-652-3p,298.56,0.00
mmu-mir-744-5p,1156.91,1122.62
mmu-mir-92a-1-3p,66981.54,25798.18
mmu-mir-92a-1-3p_+_1,992.71,1276.70
mmu-mir-92a-2-3p,2298.90,880.48
mmu-mir-93-5p,1552.50,880.48
mmu-mir-98-5p,197.05,0.00
