AlaAGC-1-1	chr6.tRNA108-AlaAGC
AlaAGC-1-10	chr6.tRNA65-AlaAGC
AlaAGC-1-11	chr6.tRNA18-AlaAGC
AlaAGC-1-12	chr6.tRNA94-AlaAGC
AlaAGC-1-13	chr6.tRNA25-AlaAGC
AlaAGC-1-14	chr6.tRNA68-AlaAGC
AlaAGC-1-15	chr6.tRNA95-AlaAGC
AlaAGC-1-16	chr6.tRNA67-AlaAGC
AlaAGC-1-2	chr6.tRNA89-AlaAGC
AlaAGC-1-3	chr1.tRNA87-AlaAGC
AlaAGC-1-4	chr6.tRNA105-AlaAGC
AlaAGC-1-5	chr6.tRNA20-AlaAGC
AlaAGC-1-6	chr6.tRNA90-AlaAGC
AlaAGC-1-7	chr14.tRNA9-AlaAGC
AlaAGC-1-8	chr6.tRNA166-AlaAGC
AlaAGC-1-9	chr6.tRNA120-AlaAGC
AlaAGC-2-1	chr6.tRNA23-AlaAGC:chr6.tRNA160-AlaAGC
AlaAGC-2-2	chr6.tRNA102-AlaAGC:chr6.tRNA101-AlaAGC
AlaAGC-2-3	chr6.tRNA24-AlaAGC:chr6.tRNA161-AlaAGC
AlaAGC-2-4	chr6.tRNA22-AlaAGC:chr6.tRNA93-AlaAGC
AlaAGC-2-5	chr2.tRNA3-AlaAGC:chr8.tRNA6-AlaAGC
AlaAGC-3-1	chr6.tRNA19-AlaAGC:chr6.tRNA159-AlaAGC:chr6.tRNA91-AlaAGC
AlaCGC-1-1	chr6.tRNA10-AlaCGC
AlaCGC-1-2	chr6.tRNA117-AlaCGC
AlaCGC-1-3	chr6.tRNA70-AlaCGC
AlaCGC-1-4	chr6.tRNA119-AlaCGC
AlaCGC-1-5	chr2.tRNA13-AlaCGC
AlaTGC-1-1	chr11.tRNA18-AlaTGC
AlaTGC-1-2	chr6.tRNA113-AlaTGC
AlaTGC-1-3	chr12.tRNA8-AlaTGC
AlaTGC-1-4	chr6.tRNA104-AlaTGC
AlaTGC-1-5	chr6.tRNA66-AlaTGC
AlaTGC-1-6	chr6.tRNA110-AlaTGC
AlaTGC-1-7	chr6.tRNA107-AlaTGC
AlaTGC-2-1	chr5.tRNA8-AlaTGC:chr12.tRNA13-AlaTGC
ArgACG-3-1	chr6.tRNA6-ArgACG:chr6.tRNA8-ArgACG:chr14.tRNA7-ArgACG
ArgACG-4-1	chr3.tRNA11-ArgACG:chr6.tRNA156-ArgACG:chr6.tRNA36-ArgACG:chr6.tRNA138-ArgACG
ArgCCG-1-1	chr17.tRNA23-ArgCCG
ArgCCG-3-1	chr6.tRNA114-ArgCCG:chr6.tRNA73-ArgCCG:chr16.tRNA1-ArgCCG
ArgCCT-1-1	chr7.tRNA3-ArgCCT
ArgCCT-1-2	chr17.tRNA21-ArgCCT
ArgCCT-1-3	chr16.tRNA12-ArgCCT
ArgCCT-1-4	chr16.tRNA2-ArgCCT
ArgCCT-1-5	chr17.tRNA18-ArgCCT
ArgTCG-1-1	chr6.tRNA3-ArgTCG
ArgTCG-1-2	chr6.tRNA4-ArgTCG
ArgTCG-1-3	chr15.tRNA4-ArgTCG
ArgTCG-1-4	chr17.tRNA19-ArgTCG
ArgTCG-1-5	chr9.tRNA2-ArgTCG
ArgTCG-1-6	chr6.tRNA124-ArgTCG
ArgTCT-1-1	chr17.tRNA4-ArgTCT
ArgTCT-1-2	chr9.tRNA4-ArgTCT
ArgTCT-1-3	chr11.tRNA3-ArgTCT
ArgTCT-1-4	chr1.tRNA9-ArgTCT
ArgTCT-1-5	chr6.tRNA52-ArgTCT
ArgTCT-1-6	chr1.tRNA86-ArgTCT
AsnATT-1-1	chr1.tRNA20-AsnATT
AsnGTT-1-1	chr1.tRNA101-AsnGTT
AsnGTT-1-10	chr1.tRNA103-AsnGTT
AsnGTT-1-11	chr1.tRNA97-AsnGTT
AsnGTT-1-12	chr1.tRNA12-AsnGTT
AsnGTT-1-13	chr1.tRNA124-AsnGTT
AsnGTT-1-14	chr1.tRNA135-AsnGTT
AsnGTT-1-15	chr1.tRNA50-AsnGTT
AsnGTT-1-2	chr1.tRNA89-AsnGTT
AsnGTT-1-3	chr1.tRNA7-AsnGTT
AsnGTT-1-4	chr1.tRNA136-AsnGTT
AsnGTT-1-5	chr1.tRNA13-AsnGTT
AsnGTT-1-6	chr1.tRNA47-AsnGTT
AsnGTT-1-7	chr1.tRNA25-AsnGTT
AsnGTT-1-8	chr1.tRNA6-AsnGTT
AsnGTT-1-9	chr1.tRNA93-AsnGTT
AsnGTT-2-1	chr1.tRNA11-AsnGTT:chr1.tRNA95-AsnGTT
AsnGTT-2-2	chr1.tRNA115-AsnGTT:chr1.tRNA113-AsnGTT
AsnGTT-2-3	chr1.tRNA108-AsnGTT:chr1.tRNA107-AsnGTT
AsnGTT-5-1	chr1.tRNA10-AsnGTT:chr1.tRNA123-AsnGTT:chr1.tRNA122-AsnGTT:chr1.tRNA24-AsnGTT:chr1.tRNA30-AsnGTT
AsnGTT-6-1	chr1.tRNA26-AsnGTT:chr1.tRNA83-AsnGTT:chr10.tRNA4-AsnGTT:chr13.tRNA7-AsnGTT:chr17.tRNA31-AsnGTT:chr19.tRNA1-AsnGTT
AspGTC-1-1	chr12.tRNA7-AspGTC
AspGTC-11-1	chr1.tRNA81-AspGTC:chr1.tRNA78-AspGTC:chr1.tRNA75-AspGTC:chr1.tRNA72-AspGTC:chr1.tRNA69-AspGTC:chr6.tRNA45-AspGTC:chr6.tRNA48-AspGTC:chr12.tRNA4-AspGTC:chr12.tRNA12-AspGTC:chr12.tRNA10-AspGTC:chr17.tRNA38-AspGTC
AspGTC-1-2	chr1.tRNA46-AspGTC
AspGTC-1-3	chr12.tRNA5-AspGTC
AspGTC-1-4	chr9.tRNA6-AspGTC
AspGTC-1-5	chr5.tRNA22-AspGTC
AspGTC-1-6	chr3.tRNA3-AspGTC
AspGTC-1-7	chr1.tRNA48-AspGTC
AspGTC-1-8	chr6.tRNA144-AspGTC
CysGCA-1-1	chr17.tRNA29-CysGCA
CysGCA-1-10	chr1.tRNA127-CysGCA
CysGCA-1-11	chr14.tRNA8-CysGCA
