ThrAGT-1-1	chr13.tRNA104-ThrAGT
GlyGCC-1-1	chr1.tRNA1392-GlyGCC
LysCTT-1-1	chr3.tRNA2-LysCTT
MetCAT-1-1	chr10.tRNA1101-MetCAT
ValCAC-1-1	chr17.tRNA392-ValCAC
LeuTAA-1-1	chr13.tRNA991-LeuTAA
AlaAGC-1-1	chr4.tRNA645-AlaAGC
ThrTGT-1-1	chr14.tRNA190-ThrTGT
LeuCAG-1-1	chr3.tRNA1026-LeuCAG
TrpCCA-2-1	chr13.tRNA107-TrpCCA:chr13.tRNA109-TrpCCA
GlnTTG-1-1	chr11.tRNA630-GlnTTG
LysCTT-1-2	chr1.tRNA1268-LysCTT
AlaCGC-1-1	chrX.tRNA364-AlaCGC
HisGTG-1-1	chr3.tRNA293-HisGTG
LeuCAG-3-1	chr1.tRNA698-LeuCAG:chr8.tRNA414-LeuCAG:chr8.tRNA1008-LeuCAG
MetCAT-2-1	chr13.tRNA61-MetCAT:chr13.tRNA999-MetCAT
ArgCCG-1-1	chr11.tRNA945-ArgCCG
ArgTCT-1-1	chr1.tRNA730-ArgTCT
AlaTGC-2-1	chrX.tRNA637-AlaTGC:chrX.tRNA371-AlaTGC
MetCAT-7-1	chr13.tRNA78-MetCAT:chr13.tRNA983-MetCAT:chr13.tRNA90-MetCAT:chr13.tRNA108-MetCAT:chr13.tRNA111-MetCAT:chr13.tRNA947-MetCAT:chr3.tRNA792-MetCAT
ThrAGT-1-2	chr13.tRNA971-ThrAGT
SecTCA-1-1	chr5.tRNA13-SecTCA
ArgTCG-1-1	chr13.tRNA948-ArgTCG
LeuTAA-1-2	chrX.tRNA462-LeuTAA
ArgTCT-1-2	chr19.tRNA637-ArgTCT
LysTTT-1-1	chr13.tRNA89-LysTTT
MetCAT-1-2	chr15.tRNA355-MetCAT
GlnCTG-1-1	chr13.tRNA87-GlnCTG
LeuCAA-1-1	chr13.tRNA85-LeuCAA
CysGCA-4-1	chr11.tRNA791-CysGCA:chr11.tRNA1433-CysGCA:chr11.tRNA1432-CysGCA:chr6.tRNA157-CysGCA
SerAGA-1-1	chr5.tRNA1135-SerAGA
ValAAC-1-1	chr13.tRNA965-ValAAC
MetCAT-1-3	chr13.tRNA99-MetCAT
ValAAC-1-2	chr4.tRNA1183-ValAAC
LysCTT-1-3	chr13.tRNA1041-LysCTT
LeuTAA-1-3	chr10.tRNA1316-LeuTAA
ArgACG-3-1	chr13.tRNA953-ArgACG:chr13.tRNA951-ArgACG:chr14.tRNA209-ArgACG
GlyCCC-2-1	chr17.tRNA113-GlyCCC:chr6.tRNA317-GlyCCC
SerCGA-1-1	chr10.tRNA688-SerCGA
TrpCCA-1-1	chr11.tRNA1849-TrpCCA
LeuCAA-1-2	chr11.tRNA1911-LeuCAA
SerAGA-1-2	chrX.tRNA493-SerAGA
CysGCA-1-1	chr6.tRNA1020-CysGCA
GlyTCC-7-1	chr1.tRNA1004-GlyTCC:chr1.tRNA1001-GlyTCC:chr1.tRNA998-GlyTCC:chr1.tRNA995-GlyTCC:chr1.tRNA708-GlyTCC:chr11.tRNA1824-GlyTCC:chr3.tRNA746-GlyTCC
TrpCCA-1-2	chr10.tRNA857-TrpCCA
AlaCGC-2-1	chr13.tRNA70-AlaCGC:chr13.tRNA955-AlaCGC
CysGCA-1-2	chr6.tRNA176-CysGCA
ValCAC-1-2	chr6.tRNA10-ValCAC
GlyGCC-3-1	chr1.tRNA702-GlyGCC:chr1.tRNA704-GlyGCC:chr1.tRNA706-GlyGCC
LysTTT-6-1	chr1.tRNA485-LysTTT:chr1.tRNA1184-LysTTT:chr11.tRNA1816-LysTTT:chr13.tRNA1000-LysTTT:chr19.tRNA107-LysTTT:chr19.tRNA639-LysTTT
LeuCAG-5-1	chr1.tRNA701-LeuCAG:chr1.tRNA703-LeuCAG:chr1.tRNA705-LeuCAG:chr1.tRNA993-LeuCAG:chr13.tRNA952-LeuCAG
HisATG-1-1	chr1.tRNA717-HisATG
ArgCCT-1-1	chr11.tRNA1022-ArgCCT
ArgTCT-1-3	chr11.tRNA1818-ArgTCT
CysGCA-1-3	chr6.tRNA175-CysGCA
ValCAC-1-3	chr13.tRNA964-ValCAC
TrpCCA-1-3	chr10.tRNA1282-TrpCCA
LeuTAG-1-1	chr11.tRNA401-LeuTAG
TrpCCA-1-4	chr11.tRNA1880-TrpCCA
AlaAGC-1-2	chr9.tRNA1100-AlaAGC
AlaAGC-2-1	chr13.tRNA66-AlaAGC:chr13.tRNA67-AlaAGC
LeuAAG-1-1	chr7.tRNA559-LeuAAG
GlnTTG-1-2	chr13.tRNA995-GlnTTG
GlyGCC-1-2	chr8.tRNA560-GlyGCC
ProTGG-1-1	chr17.tRNA998-ProTGG
AsnGTT-1-1	chr3.tRNA283-AsnGTT
GlnCTG-1-2	chr3.tRNA309-GlnCTG
ThrTGT-1-2	chr13.tRNA73-ThrTGT
ArgCCT-1-2	chr6.tRNA107-ArgCCT
AlaAGC-1-3	chr10.tRNA979-AlaAGC
CysGCA-1-4	chr6.tRNA1033-CysGCA
AlaAGC-3-1	chr13.tRNA94-AlaAGC:chr13.tRNA96-AlaAGC:chr13.tRNA966-AlaAGC
GlyACC-1-1	chr11.tRNA205-GlyACC
ThrTGT-2-1	chr11.tRNA206-ThrTGT:chr14.tRNA704-ThrTGT
IleGAT-1-1	chr2.tRNA1506-IleGAT
AsnGTT-9-1	chr1.tRNA1006-AsnGTT:chr10.tRNA381-AsnGTT:chr11.tRNA1446-AsnGTT:chr2.tRNA1947-AsnGTT:chr3.tRNA289-AsnGTT:chr3.tRNA294-AsnGTT:chr3.tRNA750-AsnGTT:chr3.tRNA298-AsnGTT:chr5.tRNA1043-AsnGTT
LysCTT-7-1	chr11.tRNA2023-LysCTT:chr13.tRNA103-LysCTT:chr17.tRNA82-LysCTT:chr17.tRNA1000-LysCTT:chr17.tRNA84-LysCTT:chr3.tRNA292-LysCTT:chr3.tRNA748-LysCTT
AlaTGC-3-1	chrX.tRNA366-AlaTGC:chrX.tRNA368-AlaTGC:chrX.tRNA372-AlaTGC
ArgCCT-1-3	chr17.tRNA995-ArgCCT
IleAAT-8-1	chr11.tRNA393-IleAAT:chr11.tRNA1823-IleAAT:chr12.tRNA470-IleAAT:chr13.tRNA990-IleAAT:chr13.tRNA989-IleAAT:chr13.tRNA92-IleAAT:chr13.tRNA968-IleAAT:chr13.tRNA956-IleAAT
GlnTTG-1-3	chrX.tRNA936-GlnTTG
IleAAT-1-1	chr16.tRNA315-IleAAT
GlnCTG-4-1	chr11.tRNA1817-GlnCTG:chr13.tRNA64-GlnCTG:chr13.tRNA982-GlnCTG:chr9.tRNA342-GlnCTG
GluCTC-1-1	chr7.tRNA967-GluCTC
LeuAAG-3-1	chr11.tRNA2021-LeuAAG:chr13.tRNA62-LeuAAG:chr14.tRNA188-LeuAAG
ArgTCT-1-4	chr13.tRNA985-ArgTCT
AlaAGC-1-4	chr19.tRNA8-AlaAGC
LeuCAA-1-3	chr13.tRNA998-LeuCAA
CysGCA-1-5	chr6.tRNA1018-CysGCA
AlaAGC-1-5	chr13.tRNA102-AlaAGC
CysGCA-1-6	chr6.tRNA1014-CysGCA
GlnCTG-1-3	chr13.tRNA975-GlnCTG
